,ibd_lengths,ibd_nodes
351,448363.0,345527
352,448363.0,218548
353,551637.0,192253
354,448363.0,345527
355,448363.0,248271
356,448363.0,248271
357,448363.0,248271
358,448363.0,345527
359,1000000.0,118250
360,132082.0,140869
361,257015.0,111088
362,742985.0,34530
363,257015.0,111088
364,257015.0,13279
365,257015.0,13279
366,387490.0,112620
367,257015.0,111088
368,257015.0,111088
369,502391.0,213987
370,257015.0,13279
371,257015.0,111088
372,1000000.0,317864
373,1000000.0,317864
374,372524.0,370989
375,875829.0,187960
376,875829.0,187960
377,875829.0,106946
378,875829.0,106946
379,875829.0,187960
380,1000000.0,129704
381,259038.0,84978
382,467922.0,151978
383,1000000.0,103638
384,1000000.0,89464
385,1000000.0,5864
386,581818.0,185981
387,1000000.0,185981
388,1000000.0,185981
389,1000000.0,93160
390,1000000.0,93160
391,1000000.0,2278
392,1000000.0,2208
393,1000000.0,3490
394,241376.0,352953
395,241376.0,352953
396,241376.0,352953
397,800674.0,200052
398,800674.0,200052
399,993989.0,288441
400,1000000.0,202482
401,774886.0,288441
402,993989.0,288441
403,123473.0,238118
404,123473.0,238118
405,123473.0,238118
406,796003.0,276996
407,796003.0,276996
408,1000000.0,104842
409,1000000.0,112910
410,1000000.0,112910
411,1000000.0,206147
412,1000000.0,11258
413,1000000.0,366669
414,1000000.0,366669
415,1000000.0,132993
416,242703.0,359736
417,402279.0,359736
418,1000000.0,132993
419,1000000.0,269344
420,402279.0,359736
421,1000000.0,211160
422,402279.0,359736
423,402279.0,359736
424,1000000.0,132993
425,402279.0,359736
426,1000000.0,211160
427,778945.0,212706
428,1000000.0,275838
429,1000000.0,275838
430,1000000.0,8850
431,1000000.0,97201
432,1000000.0,159985
433,1000000.0,85871
434,510489.0,298838
435,1000000.0,373517
436,1000000.0,97201
437,1000000.0,159985
438,112432.0,291029
439,112432.0,291029
440,112432.0,291029
441,1000000.0,3720
442,1000000.0,54372
443,1000000.0,131175
444,1000000.0,131175
445,636847.0,254235
446,431781.0,254235
447,636847.0,254235
448,1000000.0,180761
449,1000000.0,254235
450,1000000.0,180761
451,775828.0,294514
452,775828.0,294514
453,775828.0,294514
454,1000000.0,24534
455,55169.0,323820
456,55169.0,323820
457,1000000.0,378225
458,1000000.0,378225
459,142887.0,47994
460,142887.0,12574
461,142887.0,47994
462,142887.0,110645
463,142887.0,12574
464,1000000.0,154918
465,1000000.0,92609
466,1000000.0,154918
467,1000000.0,206997
468,1000000.0,93407
469,32246.0,363720
470,967754.0,77144
471,199425.0,130738
472,199425.0,130738
473,199425.0,130738
474,1000000.0,40268
475,223681.0,363411
476,1000000.0,100423
477,1000000.0,17421
