,ibd_lengths,ibd_nodes
765,71286.0,249270
766,2215.0,345875
767,23203.0,363317
768,6026.0,297288
769,24779.0,351563
770,29413.0,227993
771,18643.0,363317
772,20708.0,371122
773,33604.0,161070
774,44275.0,297288
775,105643.0,201060
776,2772.0,314499
777,1817.0,358391
778,4834.0,125736
779,42595.0,113523
780,10435.0,356665
781,21911.0,372882
782,10071.0,320453
783,18852.0,218404
784,2353.0,309064
785,36894.0,151531
786,1817.0,177817
787,53204.0,77611
788,4834.0,77611
789,29192.0,273872
790,4834.0,125736
791,1817.0,358391
792,5161.0,372882
793,5164.0,144155
794,1817.0,358391
795,39842.0,48141
796,42039.0,48141
797,5161.0,372882
798,149043.0,14028
799,88705.0,105681
800,10289.0,110168
801,5598.0,314499
802,15882.0,318150
803,9444.0,225623
804,12769.0,336316
805,22615.0,372882
806,2666.0,308046
807,1817.0,358391
808,30526.0,336370
809,10289.0,110168
810,14048.0,314499
811,19413.0,95553
812,1817.0,358391
813,22273.0,76484
814,98302.0,144155
815,43391.0,319613
816,2666.0,308046
817,39062.0,212318
818,20178.0,356665
819,42595.0,113523
820,30363.0,336316
821,17761.0,357599
822,36788.0,105681
823,58852.0,314499
824,2236.0,314499
825,1817.0,358391
826,71264.0,110168
827,10435.0,356665
828,42100.0,110168
829,2353.0,361296
830,10071.0,320453
831,43760.0,336316
832,2353.0,361296
833,1734.0,95553
834,43760.0,336316
835,43760.0,336316
836,30363.0,336316
837,117715.0,76484
838,9444.0,225623
839,30363.0,336316
840,22876.0,144155
841,7626.0,273873
842,44277.0,25470
843,58852.0,314499
844,82418.0,273872
845,5161.0,372882
846,2353.0,343270
847,2772.0,314499
848,76263.0,44883
849,155591.0,44883
850,53204.0,44883
851,4834.0,44883
852,30363.0,336316
853,2772.0,314499
854,21911.0,372882
855,165218.0,77611
856,565.0,336316
857,27304.0,227172
858,1817.0,358391
859,35565.0,314499
860,10435.0,356665
861,20178.0,356665
862,10071.0,320453
863,25382.0,314499
864,2353.0,378148
865,10071.0,320453
866,99121.0,105681
867,30363.0,336316
868,97448.0,336370
869,5161.0,372882
870,5161.0,372882
871,16058.0,162894
872,15273.0,372882
873,9830.0,273872
874,1975.0,273872
875,7213.0,285472
876,1817.0,358391
877,38262.0,308046
878,2666.0,308046
879,2353.0,378148
880,2353.0,343270
881,19413.0,162516
882,9444.0,272083
883,13414.0,227172
884,13010.0,314499
885,53748.0,65344
886,7626.0,273873
887,15712.0,273872
888,1817.0,358391
889,1817.0,358391
890,33080.0,358639
891,7626.0,273873
892,30093.0,358639
893,11430.0,307892
894,44837.0,50805
895,41326.0,326996
896,76.0,157733
897,290720.0,24607
898,9202.0,333544
899,54477.0,50805
900,41401.0,310237
901,75843.0,39005
902,9355.0,333544
903,20778.0,336345
904,20905.0,311629
905,114749.0,296868
906,2776.0,296869
907,9355.0,333544
908,9352.0,225741
909,6888.0,326996
910,29855.0,239578
911,62061.0,39005
912,81590.0,173293
913,11967.0,167796
914,256.0,207654
915,57827.0,104841
916,49936.0,84693
917,76.0,157733
918,185996.0,20151
919,17365.0,336345
920,11430.0,149853
921,13152.0,310237
922,81590.0,173293
923,62501.0,102777
924,19816.0,239578
925,75393.0,207654
926,9737.0,243821
927,930.0,331159
928,76.0,157733
929,11430.0,307892
930,3717.0,296869
931,10575.0,326996
932,12721.0,219413
933,32575.0,76835
934,9355.0,333544
935,47896.0,333544
936,75393.0,207654
937,7598.0,311629
938,40260.0,146331
939,1517.0,296869
940,9202.0,333544
941,20778.0,336345
942,60020.0,311629
943,48856.0,207654
944,180.0,296869
945,41326.0,326996
946,13783.0,49740
947,55837.0,84693
948,8296.0,310237
949,110661.0,135712
950,9355.0,333544
951,9355.0,333544
952,11819.0,296868
953,75393.0,207654
954,5995.0,296869
955,57827.0,104841
956,15346.0,296868
957,2776.0,296869
958,56955.0,157733
959,40260.0,146331
960,13856.0,70348
961,6819.0,102777
962,6164.0,311629
963,120082.0,17713
964,4038.0,333544
965,76.0,157733
966,53943.0,39005
967,17777.0,223768
968,5483.0,335618
969,13356.0,133602
970,31093.0,275903
971,13356.0,251284
972,10998.0,229791
973,31093.0,275903
974,74807.0,212725
975,25125.0,150321
976,1434.0,137804
977,11164.0,137804
978,31093.0,297758
