,pair_1,pair_2,ibd_frac,ibd_min_node,ibd_max_node,ibd_nsegments
2504,1065,1466,1.0,226453,226453,1
2505,1065,1973,1.0,5429,5429,1
2506,1068,1244,1.0,277036,277036,1
2507,1068,1287,1.0,277036,277036,1
2508,1069,1620,1.0,93871,93871,1
2509,1070,1303,1.0,7206,7206,1
2510,1073,1301,0.556309,293755,293755,1
2511,1073,1560,1.0,120725,120725,1
2512,1073,1703,1.0,16074,16074,1
2513,1074,1327,0.259015,225664,225664,1
2514,1074,1349,0.219114,243194,243194,1
2515,1074,1436,0.297642,289346,289346,1
2516,1074,1584,0.297642,77202,77202,1
2517,1074,1612,0.702358,78860,78860,1
2518,1074,1750,0.297642,289346,289346,1
2519,1074,1842,0.702358,75571,75571,1
2520,1076,1571,0.437852,76616,76616,1
2521,1076,1697,0.437852,76616,76616,1
2522,1077,1352,1.0,14270,14270,1
2523,1077,1474,1.0,56562,56562,1
2524,1077,1774,0.470422,345527,345527,1
2525,1078,1370,0.184841,253311,253311,1
2526,1078,1883,1.0,129271,129271,1
2527,1079,1380,1.0,254235,254235,1
2528,1082,1969,1.0,60612,60612,1
2529,1083,1449,1.0,44590,44590,1
2530,1083,1748,0.24515,368674,368674,1
2531,1083,1974,1.0,345115,345115,1
2532,1084,1239,1.0,60513,60513,1
2533,1087,1491,1.0,70210,70210,1
2534,1087,1967,1.0,70210,70210,1
2535,1089,1524,1.0,82291,82291,1
2536,1091,1865,1.0,220441,220441,1
2537,1093,1418,0.389813,276146,276146,1
2538,1093,1732,1.0,284767,284767,1
2539,1095,1987,1.0,103510,103510,1
2540,1101,1446,1.0,169693,169693,1
2541,1101,1829,1.0,169693,169693,1
2542,1101,1892,1.0,69070,69070,1
2543,1101,1981,1.0,169693,169693,1
2544,1104,1641,0.786351,138389,138389,1
2545,1105,1624,1.0,36932,36932,1
2546,1106,1179,1.0,27870,27870,1
2547,1107,1388,1.0,62376,62376,1
2548,1107,1924,0.095223,231728,231728,1
2549,1108,1143,0.750284,121123,121123,1
2550,1108,1515,1.0,12848,12848,1
2551,1108,1535,0.249716,149500,149500,1
2552,1108,1746,0.249716,238212,238212,1
2553,1108,1814,0.249716,238212,238212,1
2554,1110,1387,1.0,252217,252217,1
2555,1113,1218,0.214636,170094,170094,1
2556,1113,1590,0.27873,357223,357223,1
2557,1114,1158,1.0,344718,344718,1
2558,1114,1405,0.876527,297611,297611,1
2559,1114,1938,0.876527,297611,297611,1
2560,1115,1442,0.260388,357150,357150,1
2561,1115,1954,0.843529,307158,307158,1
2562,1117,1142,1.0,235875,235875,1
2563,1118,1525,0.456326,284956,284956,1
2564,1118,1662,0.148815,284956,284956,1
2565,1120,1552,1.0,11227,11227,1
2566,1121,1240,1.0,11027,11027,1
2567,1122,1721,0.786655,280396,280396,1
2568,1122,1840,1.0,119542,119542,1
2569,1123,1366,1.0,246560,246560,1
2570,1123,1651,1.0,246560,246560,1
2571,1124,1394,1.0,213816,213816,1
2572,1126,1288,1.0,44337,44337,1
2573,1126,1749,1.0,131130,131130,1
2574,1128,1502,1.0,277820,277820,1
2575,1128,1536,1.0,370942,370942,1
2576,1130,1262,1.0,327372,327372,1
2577,1135,1448,0.562624,239359,239359,1
2578,1135,1644,0.319901,239359,239359,1
2579,1135,1692,0.644725,134282,134282,1
2580,1136,1839,1.0,220463,220463,1
2581,1139,1714,1.0,128693,128693,1
2582,1139,1900,1.0,128693,128693,1
2583,1140,1955,1.0,69987,69987,1
2584,1143,1515,0.750284,121123,121123,1
2585,1145,1307,1.0,179982,179982,1
2586,1145,1492,1.0,179982,179982,1
2587,1145,1530,1.0,51222,51222,1
2588,1145,1897,1.0,179982,179982,1
2589,1146,1678,1.0,163050,163050,1
2590,1147,1894,1.0,11934,11934,1
2591,1148,1527,1.0,31162,31162,1
2592,1148,1623,1.0,257946,257946,1
2593,1149,1177,0.237525,231083,231083,1
2594,1149,1538,0.237525,231083,231083,1
2595,1151,1943,1.0,21205,21205,1
2596,1152,1370,0.815159,207205,207205,1
2597,1152,1899,1.0,207205,207205,1
2598,1154,1289,0.845355,265880,265880,1
2599,1155,1578,0.889529,105459,105459,1
2600,1156,1649,1.0,159985,159985,1
2601,1158,1405,0.876527,344718,344718,1
2602,1158,1938,0.876527,344718,344718,1
2603,1159,1690,1.0,88142,88142,1
2604,1160,1809,1.0,36573,36573,1
2605,1161,1390,0.216867,127818,127818,1
2606,1161,1428,0.216867,127818,127818,1
2607,1161,1957,0.216867,202583,202583,1
2608,1162,1181,1.0,206432,206432,1
2609,1162,1326,1.0,185381,185381,1
2610,1162,1511,1.0,206432,206432,1
2611,1162,1718,0.478495,206432,206432,1
2612,1164,1798,0.449104,167202,167202,1
2613,1166,1852,0.586134,331966,331966,1
2614,1170,1505,1.0,58557,58557,1
2615,1171,1230,0.775828,294514,294514,1
2616,1171,1746,0.055169,323820,323820,1
2617,1171,1814,0.055169,323820,323820,1
2618,1172,1735,1.0,117172,117172,1
2619,1172,1931,1.0,184758,184758,1
2620,1173,1646,1.0,95229,95229,1
2621,1173,1679,1.0,237564,237564,1
2622,1174,1950,1.0,171231,171231,1
