,pair_1,pair_2,ibd_frac,ibd_min_node,ibd_max_node,ibd_nsegments
42,1452,1580,1.0,42876,1746204,280615
43,1452,1641,1.0,160434,1746200,284387
44,1580,1641,1.0,141153,1746204,284223
0,523,562,1.0,303625,1746200,286171
1,523,728,1.0,165563,1746201,281927
2,523,746,1.0,129627,1746204,283432
3,523,882,1.0,262380,1746202,285045
4,523,1176,1.0,262502,1746199,283526
5,523,1257,1.0,105592,1746200,285168
6,523,1290,1.0,176917,1746204,282417
7,523,1759,1.0,117739,1746198,284579
8,523,1803,1.0,27330,1746204,281930
9,562,728,1.0,150939,1746201,281392
10,562,746,1.0,154259,1746204,285953
11,562,882,1.0,196624,1746202,285261
12,562,1176,1.0,291434,1746200,280621
13,562,1257,1.0,87149,1746199,284410
14,562,1290,1.0,302336,1746204,286102
15,562,1759,1.0,205392,1746200,284472
16,562,1803,1.0,103935,1746204,280512
17,728,746,1.0,284362,1746204,287403
18,728,882,1.0,126317,1746202,285491
19,728,1176,1.0,21910,1746201,279815
20,728,1257,1.0,250204,1746201,282717
21,728,1290,1.0,25277,1746204,280902
22,728,1759,1.0,345443,1746201,286880
23,728,1803,1.0,180822,1746204,283407
24,746,882,1.0,233193,1746204,282211
25,746,1176,1.0,148887,1746204,283532
26,746,1257,1.0,220022,1746204,284243
27,746,1290,1.0,250584,1746202,283613
28,746,1759,1.0,229286,1746204,284015
29,746,1803,1.0,205633,1746201,285231
30,882,1176,1.0,161108,1746202,284463
31,882,1257,1.0,35046,1746202,284148
32,882,1290,1.0,27906,1746204,283738
33,882,1759,1.0,232371,1746202,284224
34,882,1803,1.0,92151,1746204,283546
35,1176,1257,1.0,197521,1746200,284359
36,1176,1290,1.0,232741,1746204,281301
37,1176,1759,1.0,289275,1746199,282636
38,1176,1803,1.0,236633,1746204,285221
39,1257,1290,1.0,233523,1746204,282849
40,1257,1759,1.0,243455,1746200,285310
41,1257,1803,1.0,84312,1746204,282574
42,1290,1759,1.0,201423,1746204,283309
43,1290,1803,1.0,171689,1746202,283537
44,1759,1803,1.0,193739,1746204,283400
0,171,432,1.0,124894,1746201,282115
1,171,451,1.0,183683,1746204,284899
2,171,615,1.0,111541,1746201,286340
3,171,764,1.0,213070,1746202,283796
4,171,1009,1.0,263377,1746204,283052
5,171,1175,1.0,209830,1746202,284899
6,171,1357,1.0,256892,1746204,283293
7,171,1723,1.0,141518,1746204,282102
8,171,1756,1.0,17473,1746202,281561
9,432,451,1.0,272617,1746204,285544
10,432,615,1.0,99490,1746200,281680
11,432,764,1.0,165765,1746202,285120
12,432,1009,1.0,157201,1746204,283319
13,432,1175,1.0,200296,1746202,287215
14,432,1357,1.0,231771,1746204,284073
15,432,1723,1.0,192898,1746204,283179
16,432,1756,1.0,186068,1746202,284236
17,451,615,1.0,155043,1746204,282789
18,451,764,1.0,24451,1746204,280620
19,451,1009,1.0,173265,1746194,282373
20,451,1175,1.0,163647,1746204,283541
21,451,1357,1.0,239135,1746198,285448
22,451,1723,1.0,149449,1746200,282053
23,451,1756,1.0,142127,1746204,287048
24,615,764,1.0,169147,1746202,284349
25,615,1009,1.0,243996,1746204,284733
26,615,1175,1.0,138479,1746202,282327
27,615,1357,1.0,69631,1746204,283272
28,615,1723,1.0,237181,1746204,281662
29,615,1756,1.0,70833,1746202,283653
30,764,1009,1.0,28706,1746204,281890
